id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases
19,"Отображение атрибутов раздела",,"Открыт раздел ""Блог"" сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Проверить отображение заголовка раздела
2. Проверить отображение карточек постов
3. Проверить отображение кнопки ""Посмотреть еще""
","1. Отображается заголовок ""Как приготовить вкусный кофе?""
2. Карточки постов отображаются по две в ленте
3. Отображается кнопка ""Посмотреть еще"" внизу раздела
","1. 
2. 
3. 
",,,8,,Блог,
20,"Отображение атрибутов карточки поста",,"Открыт раздел ""Блог"" сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Проверить отображение изображения поста
2. Проверить отображение тегов поста
3. Проверить отображение название поста
4. Проверить отображение описания поста
5. Проверить отображение даты публикации поста
","1. Изображение поста отображается
2. Теги поста отображается
3. Название поста отображается
4. Описание поста отображается
5. Дата публикации поста отображается
","1. 
2. 
3. 
4. 
5. 
",,,8,,Блог,
21,"Переход на страницу со всеми постами",,"Открыт раздел ""Блог"" сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать на кнопку ""Посмотреть еще""
","1. Открывается страница со всеми постами
","1. 
",,,8,,Блог,
22,"Отображение атрибутов раздела",,"Открыт раздел ""Забронировать столик"" сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Проверить отображение блока форма бронирования
2. Проверить отображение поля ""Ваши пожелания""
3. Проверить отображение блока ""Оплата будет удобнее""
4. Проверить отображение поля ""Если у Вас день рождение""
","1. Форма бронирования содержит следующие поля:

* Имя
* Email
* Номер телефона
* Время
* Количество мест
* Дата
* Сообщение
* Проверочный код
* Кнопка Забронировать
2. Поле “Ваши пожелания” содержит следующие чекбоксы:
01\. Музыка в кафе
02\. Столик на веранде
03\. С животным
3. Поле “Оплата заказа будет удобнее” содержит следующие радиобаттоны:
01\. Карта
02\. Наличные

<br>
4. Поле “Если у вас день рождения, прикрепите фото паспорта:” отображается
","1. 
2. 
3. 
4. 
",,,9,,"Забронировать столик",
23,"Заполнение полей формы бронирования",,"Открыт раздел ""Забронировать столик"" сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Заполнить поля ""Имя""
2. Заполнить поле ""Email""
3. Заполнить поле ""Номер телефона""
4. Заполнить поле ""Время""
5. Заполнить поле ""Количество мест""
6. Заполнить поле ""Дата""
7. Заполнить поле ""Сообщение""
8. Заполнить поле ""Проверочный код из смс""
","1. Поле ""Имя""имеет тип text, поле обязательное для заполнения, минимальное значение поля - 1, максимальное - 50.
2. Поле Email поле обязательное для заполнения, имеет тип email.
3. Поле Номер телефона имеет тип tel, паттерн: 2[0-9]{3}-[0-9]{3}.
4. Поле Время содержит выпадающий список с доступным для бронирования временем.
5. Поле Количество мест – выпадающий список, количество мест отображается в формате:
N – N мест
N – N мест
6. Поле Дата – пикер выбора даты.
7. Поле Сообщение имеет тип message, максимальное значение для поля – 250 символов
8. Поле имеет ограничение minlength=""3"" и maxlength=""6"".(код получен при регистрации)
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
",,,11,9,"Форма бронирования",
24,"Выбор чекбоксов в поле ""Ваши пожелания""",,"Открыта форма бронирования раздела ""Забронировать столик"" сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Выбрать все чекбоксы в поле ""Ваши пожелания""
","1. Поле ""Ваши пожелания"" допускает выбор всех чекбоксов
","1. 
",,,11,9,"Форма бронирования",
25,"Включение радиобаттонов в поле ""Оплата заказа будет удобнее""",,"Открыта форма бронирования раздела ""Забронировать столик"" сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Включить радиобатон ""Наличные""
","1. Радиобатон ""Наличные"" включен
","1. 
",,,11,9,"Форма бронирования",
26,"Прикрепление фото паспорта в поле ""Если у вас день рождения, прикрепите фото паспорта:”",,"Открыта форма бронирования раздела ""Забронировать столик"" сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Нажать на кнопку ""Выбрать файл""
2. Выбрать файл в формате **image/\*,image/jpeg.**
","1. Отрывается проводник для выбора файла
2. Название файла в выбранном формате отображается в поле ""Если у вас день рождения, прикрепите фото паспорта:”
","1. 
2. 
",,,11,9,"Форма бронирования",
27,"Забронировать столик с валидными данными",,"Открыта форма бронирования раздела разбронировать столик сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Заполнить поле ""Имя"" валидными данными
2. Заполнить поле ""Email"" валидными данными
3. Заполнить поле ""Номер телефона"" валидным значением, соответствует паттерну **2[0-9]{3}-[0-9]{3}**
4. Выбрать время из выпадающего списка
5. Выбрать количество мест из выпадающего списка
6. Заполнить поле ""Сообщение"" валидными данными
7. Заполнить поле ""Проверочный код"" код полученный при регистрации
8. Выбрать чекбокс - Музыка в кафе в поле ""Ваши пожелания""
9. Нажать на радиобаттон ""Наличные""
10. Выбрать фото в формате jpeg в поле ""Если у вас день рождение""
11. Нажать кнопку забронировать
","1. В поле ""Имя"" отображается имя
2. В поле ""Email"" отображается адрес электронной почты
3. В поле ""Номер телефона"" отображается номер телефона
4. В поле ""Время"" отображается выбранное время
5. В поле ""Количество мест"" отображается выбранное количество мест
6. В поле ""Сообщение"" отображается сообщение
7. В поле ""Проверочный код"" отображается код полученный при регистрации
8. Чекбокс Музыка в кафе выбран
9. Радиобаттон ""Наличные"" включен
10. Фото в формате jpeg отображается в поле ""Если у вас день рождение""
11. Происходит проверка на валидность, отображается модальное окно с информацией **“Ваш столик на N персон забронирован на время NN часов”.** 

<br>
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11. 
",,,11,9,"Форма бронирования",
28,"Забронировать столик с пустым полем обязательным для заполнения",,"Открыта форма бронирования раздела ""Забронировать столик"" сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Поле ""Имя"" оставить пустым
2. Заполнить поле ""Email"" валидными данными
3. Заполнить поле ""Номер телефона"" валидным значением, соответствует паттерну **2[0-9]{3}-[0-9]{3}**
4. Выбрать время из выпадающего списка
5. Выбрать количество мест из выпадающего списка
6. Заполнить поле ""Сообщение"" валидными данными
7. Заполнить поле ""Проверочный код"" код полученный при регистрации
8. Выбрать чекбокс - Музыка в кафе в поле ""Ваши пожелания""
9. Нажать на радиобаттон ""Наличные""
10. Выбрать фото в формате jpeg в поле ""Если у вас день рождение""
11. Нажать кнопку забронировать
","1. В поле ""Имя"" данные отсутствуют
2. В поле ""Email"" отображается адрес электронной почты
3. В поле ""Номер телефона"" отображается номер телефона
4. В поле ""Время"" отображается выбранное время
5. В поле ""Количество мест"" отображается выбранное количество мест
6. В поле ""Сообщение"" отображается сообщение
7. В поле ""Проверочный код"" отображается код полученный при регистрации
8. Чекбокс Музыка в кафе выбран
9. Радиобаттон ""Наличные"" включен
10. Фото в формате jpeg отображается в поле ""Если у вас день рождение""
11. Под полем ""Имя"" отображается модальное окно ""Заполните это поле""
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11. 
",,,11,9,"Форма бронирования",
29,"Забронировать столик с одним символом в поле ""Проверочный код""",,"Открыта форма бронирования раздела ""Забронировать столик"" сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Заполнить поле ""Имя"" валидным значением
2. Заполнить поле ""Email"" валидными данными
3. Заполнить поле ""Номер телефона"" валидным значением, соответствует паттерну **2[0-9]{3}-[0-9]{3}**
4. Выбрать время из выпадающего списка
5. Выбрать количество мест из выпадающего списка
6. Заполнить поле ""Сообщение"" валидными данными
7. Заполнить поле ""Проверочный код"" одним символом из полученного кода при регистрации
8. Выбрать чекбокс - Музыка в кафе в поле ""Ваши пожелания""
9. Нажать на радиобаттон ""Наличные""
10. Выбрать фото в формате jpeg в поле ""Если у вас день рождение""
11. Нажать кнопку забронировать
","1. В поле ""Имя"" отображается имя
2. В поле ""Email"" отображается адрес электронной почты
3. В поле ""Номер телефона"" отображается номер телефона
4. В поле ""Время"" отображается выбранное время
5. В поле ""Количество мест"" отображается выбранное количество мест
6. В поле ""Сообщение"" отображается сообщение
7. В поле ""Проверочный код"" отображается код полученный при регистрации
8. Чекбокс Музыка в кафе выбран
9. Радиобаттон ""Наличные"" включен
10. Фото в формате jpeg отображается в поле ""Если у вас день рождение""
11. Под полем ""Проверочный код"" отображается сообщение ""Заполните это поле""
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11. 
",,,11,9,"Форма бронирования",
30,"Отображение блока ""Мы в соцсетях""",,"Открыт раздел футер сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Проверить отображение ссылки на telegram
2. Проверить отображение ссылки на twitter
3. Проверить отображение ссылки на **dribbble**
","1. Ссылка на telegram отображается
2. Ссылка на twitter отображается
3. Ссылка на dribbble отображается
","1. 
2. 
3. 
",,,10,,Футер,
31,"Отображение и функционал блока с подпиской на новости",,"Открыт раздел футер сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Проверить отображение поля ""Подписаться на новости""
2. Проверить отображение кнопки ""Подписаться""
3. Нажать на кнопку ""Подписаться""
","1. Поле ""Подписаться на новости"" отображается
2. Кнопка ""Подписаться"" отображается
3. Происходит подписка на новости, отображается уведомление ""**Спасибо, теперь вы с нами! Обещаем, спам рассылать не будем.”** 

<br>
","1. 
2. 
3. 
",,,10,,Футер,
32,"Отображение и функционал блока с картой",,"Открыт раздел футер сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Проверить отображение карты
2. Проверить отображение метки с кофейней
3. Проверить отображение адреса в тултипе на метку
4. Кликнуть на тултип
","1. Карта располагается в рамке, ширина рамки 2px
2. Метка с кофейней отображается
3. Адрес в тултипе на метку отображается
4. Тултип скрывается
","1. 
2. 
3. 
4. 
",,,10,,Футер,
33,"Отображение копирайта",,"Открыт раздел футер сайта https://limelab.tech/coffee/index.html",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. Проверит отображение копирайта
","1. Копирайт отображается в формате “Copy @ 2022 год”, где Copy - название компании
","1. 
",,,10,,Футер,
